TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
1.238132e-12,1.238132e+00,0,1,1,1,1,1,1,1,1,1,1,1
5.376791e-13,5.376791e-01,1,2,0,1,1,1,1,1,1,1,1,1
1.444774e-12,1.444774e+00,0,3,1,0,1,1,1,1,1,1,1,1
3.527344e-12,3.527344e+00,1,5,0,0,1,0,1,1,1,1,1,1
-3.013345e-12,-3.013345e+00,0,9,1,1,1,1,0,0,1,0,1,1
-4.043637e-13,-4.043637e-01,1,10,0,1,1,1,1,0,0,1,0,1
-3.009579e-12,-3.009579e+00,0,11,1,0,1,1,1,1,0,0,1,0
-1.349532e-12,-1.349532e+00,1,12,0,1,0,1,1,1,1,0,0,1
-9.660980e-13,-9.660980e-01,0,14,1,1,0,1,0,1,1,1,1,0
-1.664983e-12,-1.664983e+00,1,15,0,1,1,0,1,0,1,1,1,1
-2.319248e-12,-2.319248e+00,0,17,1,1,0,1,1,0,1,0,1,1
2.768199e-12,2.768199e+00,1,19,0,0,1,1,0,1,1,0,1,0
9.175580e-13,9.175580e-01,0,20,1,0,0,1,1,0,1,1,0,1
-1.550047e-12,-1.550047e+00,1,22,0,0,1,0,0,1,1,0,1,1
4.233197e-14,4.233197e-02,0,23,1,0,0,1,0,0,1,1,0,1
-1.496481e-12,-1.496481e+00,1,28,0,0,0,0,0,1,0,0,1,0
-1.064865e-12,-1.064865e+00,0,29,1,0,0,0,0,0,1,0,0,1
-3.538959e-13,-3.538959e-01,1,38,0,0,0,0,0,0,0,0,0,1
-2.261005e-12,-2.261005e+00,0,39,1,0,0,0,0,0,0,0,0,0
-1.342655e-12,-1.342655e+00,1,41,0,0,1,0,0,0,0,0,0,0
3.207189e-12,3.207189e+00,0,45,1,1,1,1,0,0,1,0,0,0
3.675521e-12,3.675521e+00,1,48,0,0,0,1,1,1,1,0,0,1
2.582431e-12,2.582431e+00,0,49,1,0,0,0,1,1,1,1,0,0
-2.189554e-12,-2.189554e+00,1,51,0,0,1,0,0,0,1,1,1,1
-1.102104e-12,-1.102104e+00,0,57,1,1,1,1,1,1,0,0,1,0
-1.131332e-12,-1.131332e+00,1,61,0,0,0,0,1,1,1,1,1,1
-6.624298e-13,-6.624298e-01,0,62,1,0,0,0,0,1,1,1,1,1
-4.472603e-13,-4.472603e-01,1,63,0,1,0,0,0,0,1,1,1,1
-3.813459e-12,-3.813459e+00,0,64,1,0,1,0,0,0,0,1,1,1
2.699127e-12,2.699127e+00,1,65,0,1,0,1,0,0,0,0,1,1
-3.196500e-12,-3.196500e+00,0,68,1,1,1,0,1,0,1,0,0,0
4.416191e-13,4.416191e-01,1,70,0,0,1,1,1,0,1,0,1,0
-2.198687e-12,-2.198687e+00,0,72,1,1,0,0,1,1,1,0,1,0
-1.162136e-12,-1.162136e+00,1,74,0,0,1,1,0,0,1,1,1,0
-5.712479e-13,-5.712479e-01,0,75,1,0,0,1,1,0,0,1,1,1
