TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
2.766607e-12,2.766607e+00,1,1,0,0,0,0,0,0,0,0,0,0
-1.698461e-12,-1.698461e+00,0,6,1,1,1,1,1,0,0,0,0,0
7.913726e-13,7.913726e-01,1,8,0,0,1,1,1,1,1,0,0,0
2.232219e-12,2.232219e+00,0,10,1,1,0,0,1,1,1,1,1,0
4.584341e-12,4.584341e+00,1,12,0,0,1,1,0,0,1,1,1,1
2.161238e-12,2.161238e+00,0,14,1,1,0,0,1,1,0,0,1,1
-1.220313e-12,-1.220313e+00,1,15,0,1,1,0,0,1,1,0,0,1
-4.018983e-12,-4.018983e+00,0,20,1,1,1,1,1,0,1,1,0,0
6.326747e-13,6.326747e-01,1,21,0,1,1,1,1,1,0,1,1,0
1.432367e-12,1.432367e+00,0,23,1,1,0,1,1,1,1,1,0,1
4.409534e-12,4.409534e+00,1,24,0,1,1,0,1,1,1,1,1,0
3.053307e-12,3.053307e+00,0,27,1,1,1,0,1,1,0,1,1,1
2.609200e-12,2.609200e+00,1,29,0,0,1,1,1,0,1,1,0,1
2.835887e-12,2.835887e+00,0,30,1,0,0,1,1,1,0,1,1,0
5.053209e-12,5.053209e+00,1,31,0,1,0,0,1,1,1,0,1,1
9.098874e-13,9.098874e-01,0,34,1,1,1,0,1,0,0,1,1,1
3.264008e-12,3.264008e+00,1,37,0,0,0,1,1,1,0,1,0,0
5.851295e-12,5.851295e+00,0,39,1,1,0,0,0,1,1,1,0,1
-1.030219e-13,-1.030219e-01,1,41,0,0,1,1,0,0,0,1,1,1
-8.214928e-13,-8.214928e-01,0,43,1,1,0,0,1,1,0,0,0,1
7.355314e-12,7.355314e+00,1,49,0,0,0,0,0,0,1,1,0,0
7.156993e-12,7.156993e+00,0,50,1,0,0,0,0,0,0,1,1,0
7.647186e-12,7.647186e+00,1,52,0,0,1,0,0,0,0,0,0,1
7.376328e-12,7.376328e+00,0,53,1,0,0,1,0,0,0,0,0,0
8.600837e-12,8.600837e+00,1,56,0,0,0,1,0,0,1,0,0,0
6.522372e-12,6.522372e+00,0,59,1,1,1,0,0,0,1,0,0,1
3.710107e-12,3.710107e+00,1,61,0,0,1,1,1,0,0,0,1,0
4.212740e-12,4.212740e+00,0,63,1,1,0,0,1,1,1,0,0,0
7.023008e-12,7.023008e+00,1,64,0,1,1,0,0,1,1,1,0,0
8.221801e-12,8.221801e+00,0,65,1,0,1,1,0,0,1,1,1,0
7.741881e-12,7.741881e+00,1,66,0,1,0,1,1,0,0,1,1,1
6.356023e-12,6.356023e+00,0,67,1,0,1,0,1,1,0,0,1,1
7.565262e-12,7.565262e+00,1,68,0,1,0,1,0,1,1,0,0,1
8.333469e-12,8.333469e+00,0,69,1,0,1,0,1,0,1,1,0,0
8.754636e-12,8.754636e+00,1,72,0,0,0,1,0,1,0,1,0,1
6.678830e-12,6.678830e+00,0,73,1,0,0,0,1,0,1,0,1,0
4.592762e-12,4.592762e+00,1,75,0,0,1,0,0,0,1,0,1,0
3.281319e-12,3.281319e+00,0,77,1,1,0,0,1,0,0,0,1,0
5.756166e-12,5.756166e+00,1,78,0,1,1,0,0,1,0,0,0,1
7.784043e-12,7.784043e+00,0,81,1,1,1,0,1,1,0,0,1,0
6.470759e-12,6.470759e+00,1,83,0,0,1,1,1,0,1,1,0,0
3.510893e-12,3.510893e+00,0,91,1,1,1,1,1,1,1,1,0,0
