TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
-4.972341e-12,-4.972341e+00,0,13,1,1,1,1,1,1,1,1,1,1
3.422367e-13,3.422367e-01,1,14,0,1,1,1,1,1,1,1,1,1
1.909323e-13,1.909323e-01,0,16,1,1,0,1,1,1,1,1,1,1
-4.728113e-12,-4.728113e+00,1,17,0,1,1,0,1,1,1,1,1,1
7.430566e-14,7.430566e-02,0,19,1,1,0,1,1,0,1,1,1,1
-4.758818e-12,-4.758818e+00,1,20,0,1,1,0,1,1,0,1,1,1
-1.764634e-13,-1.764634e-01,0,22,1,1,0,1,1,0,1,1,0,1
2.758820e-13,2.758820e-01,1,23,0,1,1,0,1,1,0,1,1,0
-4.922401e-12,-4.922401e+00,0,27,1,1,1,1,0,1,1,0,1,1
-4.719334e-12,-4.719334e+00,1,29,0,0,1,1,1,1,0,1,1,0
-2.509279e-12,-2.509279e+00,0,33,1,1,1,1,0,0,1,1,1,1
1.071858e-12,1.071858e+00,1,35,0,0,1,1,1,1,0,0,1,1
-6.225642e-12,-6.225642e+00,0,37,1,1,0,0,1,1,1,1,0,0
-3.407990e-12,-3.407990e+00,1,38,0,1,1,0,0,1,1,1,1,0
-9.808330e-13,-9.808330e-01,0,39,1,0,1,1,0,0,1,1,1,1
1.957605e-12,1.957605e+00,1,40,0,1,0,1,1,0,0,1,1,1
-6.506255e-12,-6.506255e+00,0,41,1,0,1,0,1,1,0,0,1,1
5.104460e-13,5.104460e-01,1,42,0,1,0,1,0,1,1,0,0,1
-4.548105e-12,-4.548105e+00,0,44,1,1,0,1,0,1,0,1,1,0
5.792894e-12,5.792894e+00,1,47,0,0,0,1,1,0,1,0,1,0
-8.056548e-12,-8.056548e+00,0,55,1,1,1,1,1,1,1,1,0,0
1.207845e-12,1.207845e+00,1,59,0,0,0,0,1,1,1,1,1,1
-2.051883e-12,-2.051883e+00,0,61,1,1,0,0,0,0,1,1,1,1
7.738426e-12,7.738426e+00,1,62,0,1,1,0,0,0,0,1,1,1
-2.869503e-12,-2.869503e+00,0,64,1,1,0,1,1,0,0,0,0,1
-5.131778e-12,-5.131778e+00,1,65,0,1,1,0,1,1,0,0,0,0
-5.829801e-12,-5.829801e+00,0,68,1,1,1,0,1,1,0,1,1,0
-2.272777e-13,-2.272777e-01,1,69,0,1,1,1,0,1,1,0,1,1
2.455919e-11,2.455919e+01,0,72,1,1,1,0,1,1,1,0,1,1
3.932254e-13,3.932254e-01,1,74,0,0,1,1,1,0,1,1,1,0
1.391919e-12,1.391919e+00,0,78,1,1,1,1,0,0,1,1,1,0
-3.860798e-11,-3.860798e+01,1,79,0,1,1,1,1,0,0,1,1,1
4.587686e-11,4.587686e+01,0,80,1,0,1,1,1,1,0,0,1,1
-1.735480e-12,-1.735480e+00,1,84,0,0,0,0,1,0,1,1,1,1
-1.291614e-12,-1.291614e+00,0,87,1,1,1,0,0,0,0,1,0,1
-5.496767e-12,-5.496767e+00,1,88,0,1,1,1,0,0,0,0,1,0
-3.657568e-12,-3.657568e+00,0,93,1,1,1,1,1,0,1,1,1,0
-3.068072e-13,-3.068072e-01,1,94,0,1,1,1,1,1,0,1,1,1
-1.062659e-11,-1.062659e+01,0,97,1,1,1,0,1,1,1,1,1,0
-5.062649e-11,-5.062649e+01,1,98,0,1,1,1,0,1,1,1,1,1
-9.062638e-11,-9.062638e+01,0,99,1,0,1,1,1,0,1,1,1,1
-5.377759e-12,-5.377759e+00,1,105,0,0,0,0,0,0,1,0,1,1
-3.255655e-12,-3.255655e+00,0,106,1,0,0,0,0,0,0,1,0,1
3.520713e-11,3.520713e+01,1,107,0,1,0,0,0,0,0,0,1,0
2.982666e-11,2.982666e+01,0,112,1,1,1,1,1,0,1,0,0,0
7.285351e-13,7.285351e-01,1,113,0,1,1,1,1,1,0,1,0,0
4.026958e-11,4.026958e+01,0,115,1,1,0,1,1,1,1,1,0,1
2.696790e-13,2.696790e-01,1,116,0,1,1,0,1,1,1,1,1,0
-2.379342e-12,-2.379342e+00,0,117,1,0,1,1,0,1,1,1,1,1
9.659517e-13,9.659517e-01,1,119,0,0,1,0,1,1,0,1,1,1
-1.214297e-11,-1.214297e+01,0,121,1,1,0,0,1,0,1,1,0,1
-1.123247e-12,-1.123247e+00,1,122,0,1,1,0,0,1,0,1,1,0
-7.718489e-12,-7.718489e+00,0,126,1,1,1,1,0,1,1,0,0,1
-4.702900e-13,-4.702900e-01,1,128,0,0,1,1,1,1,0,1,1,0
2.344854e-12,2.344854e+00,0,129,1,0,0,1,1,1,1,0,1,1
-3.033855e-12,-3.033855e+00,1,130,0,1,0,0,1,1,1,1,0,1
6.205145e-13,6.205145e-01,0,131,1,0,1,0,0,1,1,1,1,0
-2.549746e-11,-2.549746e+01,1,132,0,1,0,1,0,0,1,1,1,1
1.307296e-12,1.307296e+00,0,133,1,0,1,0,1,0,0,1,1,1
8.597906e-13,8.597906e-01,1,138,0,0,0,0,0,1,0,1,0,1
-1.469602e-12,-1.469602e+00,0,146,1,1,1,1,1,1,1,1,0,0
-1.040483e-11,-1.040483e+01,1,147,0,1,1,1,1,1,1,1,1,0
2.458597e-12,2.458597e+00,0,149,1,1,0,1,1,1,1,1,1,1
2.607259e-12,2.607259e+00,1,158,0,0,0,0,0,0,0,0,0,1
-7.784891e-13,-7.784891e-01,0,159,1,0,0,0,0,0,0,0,0,0
-2.067600e-11,-2.067600e+01,1,160,0,1,0,0,0,0,0,0,0,0
4.187668e-11,4.187668e+01,0,161,1,0,1,0,0,0,0,0,0,0
1.876779e-12,1.876779e+00,1,162,0,1,0,1,0,0,0,0,0,0
3.648432e-11,3.648432e+01,0,164,1,1,0,1,0,1,0,0,0,0
-3.515574e-12,-3.515574e+00,1,165,0,1,1,0,1,0,1,0,0,0
1.263303e-12,1.263303e+00,0,167,1,1,0,1,1,0,1,0,1,0
4.824633e-13,4.824633e-01,1,168,0,1,1,0,1,1,0,1,0,1
-4.567893e-12,-4.567893e+00,0,175,1,1,1,1,1,1,1,0,1,1
4.570855e-13,4.570855e-01,1,177,0,0,1,1,1,1,1,1,1,0
1.274040e-11,1.274040e+01,0,181,1,1,1,1,0,0,1,1,1,1
-2.660995e-11,-2.660995e+01,1,182,0,1,1,1,1,0,0,1,1,1
-1.032148e-11,-1.032148e+01,0,184,1,1,0,1,1,1,1,0,0,1
9.485919e-13,9.485919e-01,1,185,0,1,1,0,1,1,1,1,0,0
4.802368e-13,4.802368e-01,0,188,1,1,1,0,1,1,0,1,1,1
-3.983699e-12,-3.983699e+00,1,193,0,0,0,0,0,1,1,1,0,1
-5.976624e-12,-5.976624e+00,0,194,1,0,0,0,0,0,1,1,1,0
-3.282141e-12,-3.282141e+00,1,195,0,1,0,0,0,0,0,1,1,1
-5.284590e-12,-5.284590e+00,0,196,1,0,1,0,0,0,0,0,1,1
7.228536e-13,7.228536e-01,1,200,0,0,0,0,1,0,1,0,0,0
-2.185545e-12,-2.185545e+00,0,202,1,1,0,0,0,0,1,0,1,0
1.479142e-12,1.479142e+00,1,203,0,1,1,0,0,0,0,1,0,1
6.449982e-13,6.449982e-01,0,209,1,1,1,1,1,1,0,1,1,0
2.139097e-11,2.139097e+01,1,210,0,1,1,1,1,1,1,0,1,1
-3.606052e-12,-3.606052e+00,0,213,1,1,1,0,1,1,1,1,1,1
-2.598013e-12,-2.598013e+00,1,215,0,0,1,1,1,0,1,1,1,1
-5.133501e-12,-5.133501e+00,0,217,1,1,0,0,1,1,1,0,1,1
-4.513340e-11,-4.513340e+01,1,218,0,1,1,0,0,1,1,1,0,1
2.322343e-12,2.322343e+00,0,220,1,1,0,1,1,0,0,1,1,1
-2.601266e-12,-2.601266e+00,1,222,0,0,1,1,0,1,1,0,0,1
6.893467e-12,6.893467e+00,0,224,1,1,0,0,1,1,0,1,1,0
8.372388e-14,8.372388e-02,1,227,0,0,0,1,1,0,0,1,1,0
1.368773e-12,1.368773e+00,0,231,1,1,1,1,0,0,0,1,1,0
3.490949e-11,3.490949e+01,1,234,0,0,0,1,1,1,1,0,0,0
-3.816574e-12,-3.816574e+00,0,237,1,1,1,0,0,0,1,1,1,1
1.299508e-12,1.299508e+00,1,238,0,1,1,1,0,0,0,1,1,1
-2.451911e-12,-2.451911e+00,0,239,1,0,1,1,1,0,0,0,1,1
1.959959e-12,1.959959e+00,1,240,0,1,0,1,1,1,0,0,0,1
-4.812668e-12,-4.812668e+00,0,242,1,1,0,1,0,1,1,1,0,0
-4.509919e-11,-4.509919e+01,1,246,0,0,0,0,1,1,0,1,0,1
-4.036543e-12,-4.036543e+00,0,248,1,1,0,0,0,0,1,1,0,1
-7.156917e-13,-7.156917e-01,1,250,0,0,1,1,0,0,0,0,1,1
-1.647887e-12,-1.647887e+00,0,251,1,0,0,1,1,0,0,0,0,1
-1.117383e-11,-1.117383e+01,1,254,0,0,0,1,0,0,1,1,0,0
3.986583e-11,3.986583e+01,0,256,1,1,0,0,0,1,0,0,1,1
-1.340701e-13,-1.340701e-01,1,257,0,1,1,0,0,0,1,0,0,1
1.170267e-12,1.170267e+00,0,258,1,0,1,1,0,0,0,1,0,0
-3.882963e-11,-3.882963e+01,1,259,0,1,0,1,1,0,0,0,1,0
4.143656e-11,4.143656e+01,0,260,1,0,1,0,1,1,0,0,0,1
1.436661e-12,1.436661e+00,1,261,0,1,0,1,0,1,1,0,0,0
-2.735599e-12,-2.735599e+00,0,262,1,0,1,0,1,0,1,1,0,0
-1.288260e-12,-1.288260e+00,1,266,0,0,0,0,1,0,1,0,1,0
-1.062450e-11,-1.062450e+01,0,275,1,1,1,1,1,1,1,1,1,0
4.727070e-11,4.727070e+01,1,276,0,1,1,1,1,1,1,1,1,1
-5.609061e-12,-5.609061e+00,0,279,1,1,1,0,1,1,1,1,1,1
-5.580367e-12,-5.580367e+00,1,280,0,1,1,1,0,1,1,1,1,1
-1.075009e-12,-1.075009e+00,0,282,1,1,0,1,1,1,0,1,1,1
4.458750e-12,4.458750e+00,1,283,0,1,1,0,1,1,1,0,1,1
2.248891e-12,2.248891e+00,0,285,1,1,0,1,1,0,1,1,1,0
-3.578142e-12,-3.578142e+00,1,286,0,1,1,0,1,1,0,1,1,1
4.222277e-12,4.222277e+00,0,287,1,0,1,1,0,1,1,0,1,1
2.549341e-12,2.549341e+00,1,291,0,0,0,0,1,0,1,1,0,1
8.656429e-12,8.656429e+00,0,292,1,0,0,0,0,1,0,1,1,0
2.994489e-12,2.994489e+00,1,293,0,1,0,0,0,0,1,0,1,1
-9.065082e-13,-9.065082e-01,0,294,1,0,1,0,0,0,0,1,0,1
-9.369850e-12,-9.369850e+00,1,297,0,0,0,1,0,1,0,0,0,0
3.799476e-13,3.799476e-01,0,298,1,0,0,0,1,0,1,0,0,0
2.384624e-12,2.384624e+00,1,303,0,0,0,0,0,1,0,0,0,1
-2.137193e-12,-2.137193e+00,0,304,1,0,0,0,0,0,1,0,0,0
5.390737e-12,5.390737e+00,1,306,0,0,1,0,0,0,0,0,1,0
3.105854e-13,3.105854e-01,0,308,1,1,0,0,1,0,0,0,0,0
5.974358e-12,5.974358e+00,1,310,0,0,1,1,0,0,1,0,0,0
-4.331713e-12,-4.331713e+00,0,312,1,1,0,0,1,1,0,0,1,0
-3.473516e-12,-3.473516e+00,1,313,0,1,1,0,0,1,1,0,0,1
-3.121254e-12,-3.121254e+00,0,317,1,1,1,1,0,1,1,0,0,1
-3.638745e-12,-3.638745e+00,1,320,0,0,0,1,1,1,1,0,1,1
-1.415368e-12,-1.415368e+00,0,323,1,1,1,0,0,0,1,1,1,1
4.006724e-12,4.006724e+00,1,325,0,0,1,1,1,0,0,0,1,1
5.266874e-13,5.266874e-01,0,327,1,1,0,0,1,1,1,0,0,0
-2.915056e-12,-2.915056e+00,1,328,0,1,1,0,0,1,1,1,0,0
-1.367480e-12,-1.367480e+00,0,329,1,0,1,1,0,0,1,1,1,0
2.862548e-12,2.862548e+00,1,330,0,1,0,1,1,0,0,1,1,1
1.049693e-12,1.049693e+00,0,333,1,1,1,0,1,0,1,1,0,0
-5.798356e-12,-5.798356e+00,1,334,0,1,1,1,0,1,0,1,1,0
-5.179230e-13,-5.179230e-01,0,335,1,0,1,1,1,0,1,0,1,1
8.155390e-13,8.155390e-01,1,336,0,1,0,1,1,1,0,1,0,1
1.393952e-11,1.393952e+01,0,337,1,0,1,0,1,1,1,0,1,0
-2.922701e-12,-2.922701e+00,1,338,0,1,0,1,0,1,1,1,0,1
-2.676186e-12,-2.676186e+00,0,339,1,0,1,0,1,0,1,1,1,0
-5.158879e-12,-5.158879e+00,1,341,0,0,1,0,1,0,1,0,1,1
3.424175e-12,3.424175e+00,0,342,1,0,0,1,0,1,0,1,0,1
1.661360e-12,1.661360e+00,1,343,0,1,0,0,1,0,1,0,1,0
4.359932e-13,4.359932e-01,0,352,1,1,1,1,1,1,1,1,1,0
2.987913e-11,2.987913e+01,1,354,0,0,1,1,1,1,1,1,1,1
4.276604e-12,4.276604e+00,0,355,1,0,0,1,1,1,1,1,1,1
-3.612867e-12,-3.612867e+00,1,356,0,1,0,0,1,1,1,1,1,1
-3.499976e-11,-3.499976e+01,0,358,1,1,0,1,0,0,1,1,1,1
3.092992e-12,3.092992e+00,1,359,0,1,1,0,1,0,0,1,1,1
-5.161020e-12,-5.161020e+00,0,361,1,1,0,1,1,0,1,0,0,1
7.685845e-12,7.685845e+00,1,362,0,1,1,0,1,1,0,1,0,0
4.319780e-12,4.319780e+00,0,365,1,1,1,0,1,1,0,1,1,0
-1.726286e-12,-1.726286e+00,1,367,0,0,1,1,1,0,1,1,0,1
-1.464530e-12,-1.464530e+00,0,368,1,0,0,1,1,1,0,1,1,0
-1.568269e-11,-1.568269e+01,1,369,0,1,0,0,1,1,1,0,1,1
1.217657e-11,1.217657e+01,0,370,1,0,1,0,0,1,1,1,0,1
-3.221159e-12,-3.221159e+00,1,373,0,0,0,1,0,1,0,0,1,1
2.380364e-13,2.380364e-01,0,374,1,0,0,0,1,0,1,0,0,1
3.115305e-12,3.115305e+00,1,375,0,1,0,0,0,1,0,1,0,0
5.784606e-12,5.784606e+00,0,378,1,1,1,0,1,0,0,0,1,0
-5.528957e-13,-5.528957e-01,1,380,0,0,1,1,1,0,1,0,0,0
-2.389465e-12,-2.389465e+00,0,381,1,0,0,1,1,1,0,1,0,0
1.357463e-11,1.357463e+01,1,385,0,0,0,0,1,0,0,1,1,1
4.898714e-13,4.898714e-01,0,386,1,0,0,0,0,1,0,0,1,1
-1.708143e-11,-1.708143e+01,1,390,0,0,0,0,1,0,0,0,0,1
7.167338e-12,7.167338e+00,0,394,1,1,1,1,0,0,0,0,1,0
-2.139996e-11,-2.139996e+01,1,395,0,1,1,1,1,0,0,0,0,1
1.084606e-12,1.084606e+00,0,399,1,1,1,1,0,1,1,1,1,0
-9.341315e-12,-9.341315e+00,1,400,0,1,1,1,1,0,1,1,1,1
-1.521300e-12,-1.521300e+00,0,403,1,1,1,0,1,1,1,1,0,1
-3.978483e-13,-3.978483e-01,1,404,0,1,1,1,0,1,1,1,1,0
3.727277e-13,3.727277e-01,0,408,1,1,1,1,0,1,1,1,0,1
1.913167e-12,1.913167e+00,1,409,0,1,1,1,1,0,1,1,1,0
1.802897e-12,1.802897e+00,0,413,1,1,1,1,0,1,1,1,1,0
2.079103e-12,2.079103e+00,1,414,0,1,1,1,1,0,1,1,1,1
6.604596e-12,6.604596e+00,0,415,1,0,1,1,1,1,0,1,1,1
-1.284983e-12,-1.284983e+00,1,420,0,0,0,0,0,1,0,1,1,1
-1.042308e-12,-1.042308e+00,0,421,1,0,0,0,0,0,1,0,1,1
8.833012e-13,8.833012e-01,1,422,0,1,0,0,0,0,0,1,0,1
-5.887369e-12,-5.887369e+00,0,424,1,1,0,1,0,0,0,0,0,1
-3.016578e-12,-3.016578e+00,1,426,0,0,1,1,0,1,0,0,0,0
-2.605868e-13,-2.605868e-01,0,427,1,0,0,1,1,0,1,0,0,0
2.431782e-11,2.431782e+01,1,428,0,1,0,0,1,1,0,1,0,0
-1.794583e-11,-1.794583e+01,0,430,1,1,0,1,0,0,1,1,0,1
-1.074783e-12,-1.074783e+00,1,431,0,1,1,0,1,0,0,1,1,0
-2.063593e-12,-2.063593e+00,0,432,1,0,1,1,0,1,0,0,1,1
1.610958e-12,1.610958e+00,1,434,0,0,1,0,1,1,0,1,0,0
