Edge_Index,TIE_Seconds,Bit,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5
1,2.1860702565100093e-10,0,0,0,0,0,0
1,2.5447876446850203e-11,0,0,0,0,0,0
3,2.1271627252287848e-10,1,0,0,0,0,0
4,1.4708809563785644e-10,0,1,0,0,0,0
5,2.168542426301544e-10,0,0,1,0,0,0
5,8.676207165503e-11,0,0,1,0,0,0
6,-7.043368977547771e-11,1,0,0,1,0,0
7,-9.132399333833322e-11,1,1,0,0,1,0
7,-1.7303495624164728e-10,1,1,0,0,1,0
8,-1.5264965375306726e-10,0,1,1,0,0,1
9,-1.8033127545159437e-10,1,0,1,1,0,0
10,-2.9323013970670924e-10,0,1,0,1,1,0
11,-1.6270839172893648e-10,1,0,1,0,1,1
14,3.1007957277288315e-10,0,1,1,1,0,1
15,2.0455225544428134e-10,0,0,1,1,1,0
15,8.113861563477384e-11,0,0,1,1,1,0
16,3.828492807260675e-12,1,0,0,1,1,1
18,1.2581964426924105e-10,0,1,1,0,0,1
18,-3.897442474903074e-11,0,1,1,0,0,1
18,-1.7850153630907476e-10,0,1,1,0,0,1
19,-2.489929340424529e-10,1,0,1,1,0,0
21,-4.4428906846363225e-11,0,1,1,0,1,1
23,2.1994111977154248e-10,0,0,0,1,1,0
23,2.4450107124466646e-11,0,0,0,1,1,0
25,2.1265195254243736e-10,1,0,0,0,0,1
26,1.4726113404940715e-10,0,1,0,0,0,0
27,2.1639078255543174e-10,0,0,1,0,0,0
27,8.701718525665802e-11,0,0,1,0,0,0
28,-7.067959684578871e-11,1,0,0,1,0,0
29,-9.079631941239366e-11,1,1,0,0,1,0
29,-1.7320158509509998e-10,1,1,0,0,1,0
30,-1.523950566614619e-10,0,1,1,0,0,1
31,-1.8040577987965367e-10,1,0,1,1,0,0
32,-2.931742492311741e-10,0,1,0,1,1,0
33,-1.6274665150346073e-10,1,0,1,0,1,1
36,3.100736755968316e-10,0,1,1,1,0,1
37,2.0462002976385838e-10,0,0,1,1,1,0
37,8.071713687661527e-11,0,0,1,1,1,0
38,3.85775245194696e-12,1,0,0,1,1,1
40,1.2581974375006034e-10,0,1,1,0,0,1
40,-3.8974325268211444e-11,0,1,1,0,0,1
40,-1.7850143682825546e-10,0,1,1,0,0,1
41,-2.4899283456163444e-10,1,0,1,1,0,0
43,-4.442880736554476e-11,0,1,1,0,1,1
45,2.1994121925236177e-10,0,0,0,1,1,0
45,2.445020660528594e-11,0,0,0,1,1,0
47,2.1265205202325665e-10,1,0,0,0,0,1
48,1.4726123353022644e-10,0,1,0,0,0,0
49,2.163908820362502e-10,0,0,1,0,0,0
49,8.701728473747732e-11,0,0,1,0,0,0
50,-7.067949736496941e-11,1,0,0,1,0,0
51,-9.079621993157354e-11,1,1,0,0,1,0
51,-1.7320148561427904e-10,1,1,0,0,1,0
52,-1.5239495718064178e-10,0,1,1,0,0,1
53,-1.8040568039883272e-10,1,0,1,1,0,0
54,-2.9317414975035313e-10,0,1,0,1,1,0
55,-1.6274655202264392e-10,1,0,1,0,1,1
58,3.1007377507764844e-10,0,1,1,1,0,1
59,2.046201292446785e-10,0,0,1,1,1,0
59,8.071723635743374e-11,0,0,1,1,1,0
60,3.857851932765426e-12,1,0,0,1,1,1
62,1.2581984323088046e-10,0,1,1,0,0,1
62,-3.897422578739298e-11,0,1,1,0,0,1
62,-1.78501337347437e-10,0,1,1,0,0,1
63,-2.489927350808143e-10,1,0,1,1,0,0
65,-4.4428707884722985e-11,0,1,1,0,1,1
67,2.1994131873318355e-10,0,0,0,1,1,0
67,2.4450306086104405e-11,0,0,0,1,1,0
69,2.1265215150407677e-10,1,0,0,0,0,1
70,1.472613330110449e-10,0,1,0,0,0,0
71,2.1639098151707198e-10,0,0,1,0,0,0
71,8.701738421829578e-11,0,0,1,0,0,0
72,-7.06793978841493e-11,1,0,0,1,0,0
73,-9.079612045075342e-11,1,1,0,0,1,0
73,-1.7320138613345726e-10,1,1,0,0,1,0
74,-1.5239485769982166e-10,0,1,1,0,0,1
75,-1.8040558091801095e-10,1,0,1,1,0,0
76,-2.93174050269533e-10,0,1,0,1,1,0
77,-1.6274645254182215e-10,1,0,1,0,1,1
80,3.1007387455846856e-10,0,1,1,1,0,1
81,2.0462022872550028e-10,0,0,1,1,1,0
81,8.071733583825551e-11,0,0,1,1,1,0
82,3.857951413583892e-12,1,0,0,1,1,1
84,1.2581994271170058e-10,0,1,1,0,0,1
84,-3.897412630657451e-11,0,1,1,0,0,1
84,-1.7850123786661522e-10,0,1,1,0,0,1
85,-2.4899263559999586e-10,1,0,1,1,0,0
87,-4.442860840390121e-11,0,1,1,0,1,1
89,2.1994141821400367e-10,0,0,0,1,1,0
89,2.4450405566924526e-11,0,0,0,1,1,0
91,2.126522509849002e-10,1,0,0,0,0,1
92,1.4726143249186834e-10,0,1,0,0,0,0
93,2.163910809978921e-10,0,0,1,0,0,0
93,8.70174836991159e-11,0,0,1,0,0,0
94,-7.067929840332586e-11,1,0,0,1,0,0
95,-9.07960209699333e-11,1,1,0,0,1,0
95,-1.7320128665264045e-10,1,1,0,0,1,0
96,-1.5239475821900485e-10,0,1,1,0,0,1
97,-1.8040548143719413e-10,1,0,1,1,0,0
98,-2.931739507887129e-10,0,1,0,1,1,0
99,-1.6274635306099872e-10,1,0,1,0,1,1
102,3.10073974039292e-10,0,1,1,1,0,1
103,2.046203282063204e-10,0,0,1,1,1,0
103,8.071743531907563e-11,0,0,1,1,1,0
104,3.858050894404013e-12,1,0,0,1,1,1
106,1.258200421925174e-10,0,1,1,0,0,1
106,-3.8974026825747774e-11,0,1,1,0,0,1
106,-1.785011383857951e-10,0,1,1,0,0,1
107,-2.4899253611917243e-10,1,0,1,1,0,0
109,-4.44285089230844e-11,0,1,1,0,1,1
111,2.199415176948271e-10,0,0,0,1,1,0
111,2.4450505047744646e-11,0,0,0,1,1,0
113,2.1265235046571702e-10,1,0,0,0,0,1
114,1.4726153197268846e-10,0,1,0,0,0,0
115,2.1639118047871222e-10,0,0,1,0,0,0
115,8.701758317993602e-11,0,0,1,0,0,0
116,-7.067919892250905e-11,1,0,0,1,0,0
117,-9.079592148911318e-11,1,1,0,0,1,0
117,-1.7320118717182033e-10,1,1,0,0,1,0
118,-1.5239465873818142e-10,0,1,1,0,0,1
119,-1.8040538195637401e-10,1,0,1,1,0,0
