TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
8.085850536401297e-13,0.8085850536401297,1,1,0,0,0,0,0,0,0,0,0,0
-1.85695898409656e-12,-1.8569589840965601,0,2,1,0,0,0,0,0,0,0,0,0
1.8968202581795057e-12,1.8968202581795057,1,5,0,0,0,1,0,0,0,0,0,0
1.088146089052457e-12,1.088146089052457,0,6,1,0,0,0,1,0,0,0,0,0
-5.224227281817612e-12,-5.224227281817612,1,9,0,0,0,1,0,0,0,1,0,0
6.6638758922909305e-12,6.663875892290931,0,10,1,0,0,0,1,0,0,0,1,0
-1.6799449147437947e-12,-1.6799449147437946,1,14,0,0,0,0,1,0,0,0,1,0
1.3482898910800212e-12,1.3482898910800212,0,15,1,0,0,0,0,1,0,0,0,1
3.687750522892451e-14,0.03687750522892451,1,16,0,1,0,0,0,0,1,0,0,0
6.858490871307522e-13,0.6858490871307522,0,19,1,1,1,0,1,0,0,0,0,1
-1.964348313123165e-13,-0.19643483131231648,1,20,0,1,1,1,0,1,0,0,0,0
3.0272133464474696e-12,3.0272133464474695,0,21,1,0,1,1,1,0,1,0,0,0
-1.7605931681616111e-12,-1.7605931681616112,1,22,0,1,0,1,1,1,0,1,0,0
2.395320587538039e-12,2.395320587538039,0,30,1,1,1,1,1,1,1,1,0,1
-2.4439919960824354e-12,-2.4439919960824352,1,32,0,0,1,1,1,1,1,1,1,1
6.587381549987881e-13,0.6587381549987881,0,35,1,1,1,0,0,1,1,1,1,1
-1.2810286671341646e-12,-1.2810286671341646,1,36,0,1,1,1,0,0,1,1,1,1
1.9464238363907818e-12,1.9464238363907818,0,37,1,0,1,1,1,0,0,1,1,1
2.341169706804745e-12,2.341169706804745,1,42,0,0,0,0,0,1,0,1,1,1
1.843655232879469e-12,1.843655232879469,0,47,1,1,1,1,1,0,0,0,0,0
1.2814053338169186e-12,1.2814053338169187,1,48,0,1,1,1,1,1,0,0,0,0
3.4554211137438376e-13,0.34554211137438373,0,50,1,1,0,1,1,1,1,1,0,0
1.6317850198538637e-12,1.6317850198538637,1,51,0,1,1,0,1,1,1,1,1,0
-1.4183301921643695e-12,-1.4183301921643694,0,52,1,0,1,1,0,1,1,1,1,1
7.108672686674526e-12,7.108672686674526,1,53,0,1,0,1,1,0,1,1,1,1
-6.092863858525171e-13,-0.609286385852517,0,54,1,0,1,0,1,1,0,1,1,1
1.2107480290158653e-12,1.2107480290158652,1,55,0,1,0,1,0,1,1,0,1,1
1.7069806434140793e-12,1.7069806434140793,0,57,1,1,0,1,0,1,0,1,1,0
1.3856035457058495e-12,1.3856035457058495,1,65,0,0,0,0,0,0,0,0,1,1
1.9064985584933447e-12,1.9064985584933447,0,67,1,1,0,0,0,0,0,0,0,0
-1.3403692756104725e-12,-1.3403692756104726,1,68,0,1,1,0,0,0,0,0,0,0
1.3968485936853683e-12,1.3968485936853683,0,72,1,1,1,1,0,1,1,0,0,0
6.165484009234638e-13,0.6165484009234637,1,73,0,1,1,1,1,0,1,1,0,0
2.327087376844592e-12,2.327087376844592,0,74,1,0,1,1,1,1,0,1,1,0
5.606880881634493e-12,5.606880881634493,1,75,0,1,0,1,1,1,1,0,1,1
5.413893320408614e-12,5.413893320408613,0,78,1,1,1,0,1,0,1,1,1,1
1.751464089637311e-12,1.751464089637311,1,79,0,1,1,1,0,1,0,1,1,1
-3.332602705437939e-12,-3.3326027054379392,0,80,1,0,1,1,1,0,1,0,1,1
3.364893942891244e-12,3.3648939428912437,1,81,0,1,0,1,1,1,0,1,0,1
9.908779432136749e-13,0.9908779432136748,0,82,1,0,1,0,1,1,1,0,1,0
8.871752041847479e-13,0.8871752041847479,1,83,0,1,0,1,0,1,1,1,0,1
2.3052326511876647e-12,2.305232651187665,0,84,1,0,1,0,1,0,1,1,1,0
3.2618868888204333e-12,3.2618868888204333,1,86,0,0,1,0,1,0,1,0,1,1
3.298430721447901e-12,3.298430721447901,0,87,1,0,0,1,0,1,0,1,0,1
1.881147336241489e-12,1.8811473362414892,1,88,0,1,0,0,1,0,1,0,1,0
9.786167192513006e-13,0.9786167192513006,0,99,1,1,1,1,1,1,1,1,1,1
1.975841191717671e-12,1.9758411917176708,1,101,0,0,1,1,1,1,1,1,1,1
1.085283869364537e-12,1.085283869364537,0,109,1,1,1,1,1,1,1,1,0,0
4.818537686753848e-12,4.818537686753848,1,110,0,1,1,1,1,1,1,1,1,0
8.9697910200346e-13,0.89697910200346,0,111,1,0,1,1,1,1,1,1,1,1
6.531462819727532e-13,0.6531462819727532,1,112,0,1,0,1,1,1,1,1,1,1
3.5506934612477116e-12,3.5506934612477115,0,114,1,1,0,1,0,1,1,1,1,1
4.488416324836561e-12,4.48841632483656,1,115,0,1,1,0,1,0,1,1,1,1
6.444816438328112e-12,6.444816438328113,0,116,1,0,1,1,0,1,0,1,1,1
8.608495311742781e-12,8.60849531174278,1,117,0,1,0,1,1,0,1,0,1,1
5.734174085949249e-12,5.734174085949249,0,119,1,1,0,1,0,1,1,0,1,0
5.063602622502681e-12,5.063602622502682,1,120,0,1,1,0,1,0,1,1,0,1
2.7059729183514483e-12,2.7059729183514483,0,121,1,0,1,1,0,1,0,1,1,0
2.2495867182874488e-12,2.249586718287449,1,122,0,1,0,1,1,0,1,0,1,1
7.2464758793339624e-12,7.246475879333962,0,123,1,0,1,0,1,1,0,1,0,1
4.6277348240666095e-12,4.62773482406661,1,125,0,0,1,0,1,0,1,1,0,1
5.800370638897748e-12,5.800370638897748,0,127,1,1,0,0,1,0,1,0,1,1
3.819234936361968e-12,3.819234936361968,1,128,0,1,1,0,0,1,0,1,0,1
