TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
1.016519787764548e-12,1.016519787764548,1,1,0,0,0,0,0,0,0,0,0,0
-1.4413216672103743e-12,-1.4413216672103744,0,2,1,0,0,0,0,0,0,0,0,0
2.9318557178723215e-12,2.9318557178723217,1,5,0,0,0,1,0,0,0,0,0,0
2.32764203631684e-12,2.32764203631684,0,6,1,0,0,0,1,0,0,0,0,0
-3.380567018419128e-12,-3.3805670184191277,1,9,0,0,0,1,0,0,0,1,0,0
8.705099583110784e-12,8.705099583110785,0,10,1,0,0,0,1,0,0,0,1,0
1.126510272320285e-12,1.1265102723202849,1,14,0,0,0,0,1,0,0,0,1,0
4.338718698359954e-12,4.338718698359954,0,15,1,0,0,0,0,1,0,0,0,1
3.2079247518329368e-12,3.2079247518329366,1,16,0,1,0,0,0,0,1,0,0,0
4.3765868208153775e-12,4.376586820815377,0,19,1,1,1,0,1,0,0,0,0,1
3.659485260652247e-12,3.6594852606522474,1,20,0,1,1,1,0,1,0,0,0,0
7.043972009704062e-12,7.043972009704063,0,21,1,0,1,1,1,0,1,0,0,0
2.412474675455105e-12,2.4124746754551047,1,22,0,1,0,1,1,1,0,1,0,0
7.635089252582162e-12,7.635089252582162,0,30,1,1,1,1,1,1,1,1,0,1
3.0056415505389718e-12,3.005641550538972,1,32,0,0,1,1,1,1,1,1,1,1
6.3760924056782366e-12,6.376092405678237,0,35,1,1,1,0,0,1,1,1,1,1
4.512546458646334e-12,4.512546458646334,1,36,0,1,1,1,0,0,1,1,1,1
7.809534821394099e-12,7.809534821394099,0,37,1,0,1,1,1,0,0,1,1,1
8.448583951013058e-12,8.448583951013058,1,42,0,0,0,0,0,1,0,1,1,1
8.01685367809148e-12,8.01685367809148,0,47,1,1,1,1,1,0,0,0,0,0
7.445824291803568e-12,7.445824291803568,1,48,0,1,1,1,1,1,0,0,0,0
6.470278992870562e-12,6.470278992870562,0,50,1,1,0,1,1,1,1,1,0,0
7.725605373182128e-12,7.725605373182128,1,51,0,1,1,0,1,1,1,1,1,0
4.637192851825298e-12,4.637192851825298,0,52,1,0,1,1,0,1,1,1,1,1
1.3118528925964517e-11,13.118528925964517,1,53,0,1,0,1,1,0,1,1,1,1
5.347552129032037e-12,5.347552129032037,0,54,1,0,1,0,1,1,0,1,1,1
7.107243747282235e-12,7.107243747282235,1,55,0,1,0,1,0,1,1,0,1,1
7.460955142706674e-12,7.460955142706674,0,57,1,1,0,1,0,1,0,1,1,0
