TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
7.927200622848174e-13,0.7927200622848174,1,1,0,0,0,0,0,0,0,0,0,0
-1.8886886575361277e-12,-1.8886886575361277,0,2,1,0,0,0,0,0,0,0,0,0
1.8175014867359254e-12,1.8175014867359254,1,5,0,0,0,1,0,0,0,0,0,0
9.92966965172485e-13,0.9929669651724851,0,6,1,0,0,0,1,0,0,0,0,0
-5.366975093428102e-12,-5.366975093428102,1,9,0,0,0,1,0,0,0,1,0,0
6.505277005137334e-12,6.505277005137334,0,10,1,0,0,0,1,0,0,0,1,0
-1.9019140937239717e-12,-1.9019140937239718,1,14,0,0,0,0,1,0,0,0,1,0
1.1104881865654283e-12,1.1104881865654284,0,15,1,0,0,0,0,1,0,0,0,1
-2.1675208810489678e-13,-0.21675208810489677,1,16,0,1,0,0,0,0,1,0,0,0
3.8476673496450535e-13,0.38476673496450536,0,19,1,1,1,0,1,0,0,0,0,1
-5.133234384553386e-13,-0.5133234384553386,1,20,0,1,1,1,0,1,0,0,0,0
2.6945246641666146e-12,2.6945246641666145,0,21,1,0,1,1,1,0,1,0,0,0
-2.1090754373515263e-12,-2.1090754373515264,1,22,0,1,0,1,1,1,0,1,0,0
1.9207601750923745e-12,1.9207601750923746,0,30,1,1,1,1,1,1,1,1,0,1
-2.9499855043778694e-12,-2.9499855043778695,1,32,0,0,1,1,1,1,1,1,1,1
1.0566982360882013e-13,0.10566982360882013,0,35,1,1,1,0,0,1,1,1,1,1
-1.8497674262336286e-12,-1.8497674262336286,1,36,0,1,1,1,0,0,1,1,1,1
1.3620257507472745e-12,1.3620257507472744,0,37,1,0,1,1,1,0,0,1,1,1
1.6786522271836579e-12,1.678652227183658,1,42,0,0,0,0,0,1,0,1,1,1
1.1033417913453723e-12,1.1033417913453722,0,47,1,1,1,1,1,0,0,0,0,0
5.255748700510263e-13,0.5255748700510263,1,48,0,1,1,1,1,1,0,0,0,0
-4.4127778917060116e-13,-0.4412777891706012,0,50,1,1,0,1,1,1,1,1,0,0
8.294933132502051e-13,0.829493313250205,1,51,0,1,1,0,1,1,1,1,1,0
-2.2360780246255578e-12,-2.2360780246255576,0,52,1,0,1,1,0,1,1,1,1,1
6.27548471227729e-12,6.27548471227729,1,53,0,1,0,1,1,0,1,1,1,1
-1.4578982147609955e-12,-1.4578982147609956,0,54,1,0,1,0,1,1,0,1,1,1
3.467289363031273e-13,0.3467289363031273,1,55,0,1,0,1,0,1,1,0,1,1
8.12198007212082e-13,0.812198007212082,0,57,1,1,0,1,0,1,0,1,1,0
3.6849085956104503e-13,0.36849085956104505,1,65,0,0,0,0,0,0,0,0,1,1
8.589964501621138e-13,0.8589964501621138,0,67,1,1,0,0,0,0,0,0,0,0
-2.4030354779796044e-12,-2.4030354779796044,1,68,0,1,1,0,0,0,0,0,0,0
2.7373711981725126e-13,0.27373711981725124,0,72,1,1,1,1,0,1,1,0,0,0
-5.216201194620601e-13,-0.5216201194620601,1,73,0,1,1,1,1,0,1,1,0,0
1.173884115533341e-12,1.173884115533341,0,74,1,0,1,1,1,1,0,1,1,0
4.4386654829877366e-12,4.438665482987736,1,75,0,1,0,1,1,1,1,0,1,1
4.200780106653511e-12,4.200780106653511,0,78,1,1,1,0,1,0,1,1,1,1
5.234321266932493e-13,0.5234321266932492,1,79,0,1,1,1,0,1,0,1,1,1
-4.575529328673216e-12,-4.575529328673216,0,80,1,0,1,1,1,0,1,0,1,1
2.107097044358694e-12,2.107097044358694,1,81,0,1,0,1,1,1,0,1,0,1
-2.8176454985717483e-13,-0.2817645498571748,0,82,1,0,1,0,1,1,1,0,1,0
-4.0028790723558954e-13,-0.40028790723558955,1,83,0,1,0,1,0,1,1,1,0,1
1.0029741926972825e-12,1.0029741926972826,0,84,1,0,1,0,1,0,1,1,1,0
1.9301147286707243e-12,1.9301147286707243,1,86,0,0,1,0,1,0,1,0,1,1
1.951940795158056e-12,1.9519407951580563,0,87,1,0,0,1,0,1,0,1,0,1
5.199660919812454e-13,0.5199660919812454,1,88,0,1,0,0,1,0,1,0,1,0
-5.423398146238035e-13,-0.5423398146238034,0,99,1,1,1,1,1,1,1,1,1,1
4.2621255677142067e-13,0.42621255677142067,1,101,0,0,1,1,1,1,1,1,1,1
-5.777893794173584e-13,-0.5777893794173584,0,109,1,1,1,1,1,1,1,1,0,0
3.1414285150136038e-12,3.1414285150136037,1,110,0,1,1,1,1,1,1,1,1,0
-7.9413289673464e-13,-0.79413289673464,0,111,1,0,1,1,1,1,1,1,1,1
-1.0519351638209417e-12,-1.0519351638209418,1,112,0,1,0,1,1,1,1,1,1,1
1.8177743948251803e-12,1.8177743948251803,0,114,1,1,0,1,0,1,1,1,1,1
2.7416296505212507e-12,2.7416296505212507,1,115,0,1,1,0,1,0,1,1,1,1
4.684196667415512e-12,4.684196667415511,0,116,1,0,1,1,0,1,0,1,1,1
6.834077237203969e-12,6.834077237203968,1,117,0,1,0,1,1,0,1,0,1,1
3.932264907405961e-12,3.9322649074059615,0,119,1,1,0,1,0,1,1,0,1,0
3.2480012045531726e-12,3.2480012045531725,1,120,0,1,1,0,1,0,1,1,0,1
