TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
6.640314534833896e-13,0.6640314534833897,1,1,0,0,0,0,0,0,0,0,0,0
-1.15900170209842e-12,-1.15900170209842,0,2,1,0,0,0,0,0,0,0,0,0
1.2471034948739502e-12,1.2471034948739503,1,5,0,0,0,1,0,0,0,0,0,0
3.5250438632751386e-13,0.35250438632751385,0,6,1,0,0,0,1,0,0,0,0,0
-2.2744709060796242e-12,-2.274470906079624,1,9,0,0,0,1,0,0,0,1,0,0
3.1793167557353016e-12,3.1793167557353015,0,10,1,0,0,0,1,0,0,0,1,0
-4.5365631982489324e-13,-0.45365631982489324,1,14,0,0,0,0,1,0,0,0,1,0
5.701933554789962e-13,0.5701933554789962,0,15,1,0,0,0,0,1,0,0,0,1
4.242184843833077e-13,0.4242184843833077,1,16,0,1,0,0,0,0,1,0,0,0
2.7789190388847966e-13,0.2778919038884797,0,19,1,1,1,0,1,0,0,0,0,1
3.4647683069919984e-13,0.3464768306991998,1,20,0,1,1,1,0,1,0,0,0,0
1.4680265382887032e-12,1.4680265382887032,0,21,1,0,1,1,1,0,1,0,0,0
-4.1615243097199046e-13,-0.41615243097199045,1,22,0,1,0,1,1,1,0,1,0,0
1.2395432472738846e-12,1.2395432472738845,0,30,1,1,1,1,1,1,1,1,0,1
-6.606960839789588e-13,-0.6606960839789587,1,32,0,0,1,1,1,1,1,1,1,1
4.1977907031557807e-13,0.4197790703155781,0,35,1,1,1,0,0,1,1,1,1,1
-4.0405330873293505e-14,-0.0404053308732935,1,36,0,1,1,1,0,0,1,1,1,1
1.0830176504493305e-12,1.0830176504493305,0,37,1,0,1,1,1,0,0,1,1,1
1.8288378144662807e-12,1.8288378144662807,1,42,0,0,0,0,0,1,0,1,1,1
1.1284613105739703e-12,1.1284613105739703,0,47,1,1,1,1,1,0,0,0,0,0
1.3570038327014434e-12,1.3570038327014435,1,48,0,1,1,1,1,1,0,0,0,0
4.083979842370123e-13,0.4083979842370123,0,50,1,1,0,1,1,1,1,1,0,0
1.561177603208217e-12,1.561177603208217,1,51,0,1,1,0,1,1,1,1,1,0
-4.5422506673174277e-13,-0.4542250667317428,0,52,1,0,1,1,0,1,1,1,1,1
4.318928016931606e-12,4.318928016931606,1,53,0,1,0,1,1,0,1,1,1,1
-3.0403230067769274e-14,-0.030403230067769273,0,54,1,0,1,0,1,1,0,1,1,1
1.3892588485049224e-12,1.3892588485049224,1,55,0,1,0,1,0,1,1,0,1,1
1.15665439106461e-12,1.15665439106461,0,57,1,1,0,1,0,1,0,1,1,0
1.5729334357229283e-12,1.5729334357229283,1,65,0,0,0,0,0,0,0,0,1,1
1.352582980491476e-12,1.352582980491476,0,67,1,1,0,0,0,0,0,0,0,0
2.3874375689338304e-13,0.23874375689338304,1,68,0,1,1,0,0,0,0,0,0,0
1.1456878237534284e-12,1.1456878237534285,0,72,1,1,1,1,0,1,1,0,0,0
1.2651102851281341e-12,1.2651102851281342,1,73,0,1,1,1,1,0,1,1,0,0
1.6299477148074949e-12,1.6299477148074948,0,74,1,0,1,1,1,1,0,1,1,0
3.779407729946268e-12,3.7794077299462683,1,75,0,1,0,1,1,1,1,0,1,1
3.211575034517726e-12,3.211575034517726,0,78,1,1,1,0,1,0,1,1,1,1
1.889904336841285e-12,1.8899043368412851,1,79,0,1,1,1,0,1,0,1,1,1
-1.142590136466338e-12,-1.142590136466338,0,80,1,0,1,1,1,0,1,0,1,1
2.7156920555866863e-12,2.715692055586686,1,81,0,1,0,1,1,1,0,1,0,1
1.038212804445643e-12,1.038212804445643,0,82,1,0,1,0,1,1,1,0,1,0
1.4958850016025226e-12,1.4958850016025227,1,83,0,1,0,1,0,1,1,1,0,1
1.7144320469268091e-12,1.714432046926809,0,84,1,0,1,0,1,0,1,1,1,0
2.7117798236238565e-12,2.7117798236238566,1,86,0,0,1,0,1,0,1,0,1,1
2.2395539504207445e-12,2.2395539504207447,0,87,1,0,0,1,0,1,0,1,0,1
2.0404089723031687e-12,2.040408972303169,1,88,0,1,0,0,1,0,1,0,1,0
1.1932268510984619e-12,1.1932268510984618,0,99,1,1,1,1,1,1,1,1,1,1
2.2106845211998263e-12,2.210684521199826,1,101,0,0,1,1,1,1,1,1,1,1
1.3405276706265854e-12,1.3405276706265854,0,109,1,1,1,1,1,1,1,1,0,0
3.716514533298701e-12,3.7165145332987013,1,110,0,1,1,1,1,1,1,1,1,0
1.2650882596496883e-12,1.2650882596496884,0,111,1,0,1,1,1,1,1,1,1,1
1.652517870741122e-12,1.6525178707411219,1,112,0,1,0,1,1,1,1,1,1,1
2.6199622603562445e-12,2.6199622603562447,0,114,1,1,0,1,0,1,1,1,1,1
3.598148346380582e-12,3.598148346380582,1,115,0,1,1,0,1,0,1,1,1,1
4.085665810455371e-12,4.085665810455371,0,116,1,0,1,1,0,1,0,1,1,1
5.6768153453191386e-12,5.676815345319139,1,117,0,1,0,1,1,0,1,0,1,1
3.758252752230284e-12,3.7582527522302835,0,119,1,1,0,1,0,1,1,0,1,0
3.932254817715204e-12,3.9322548177152035,1,120,0,1,1,0,1,0,1,1,0,1
2.2627202047890514e-12,2.2627202047890513,0,121,1,0,1,1,0,1,0,1,1,0
2.5437997236773467e-12,2.543799723677347,1,122,0,1,0,1,1,0,1,0,1,1
4.551509240742135e-12,4.551509240742135,0,123,1,0,1,0,1,1,0,1,0,1
3.7606452905622055e-12,3.7606452905622056,1,125,0,0,1,0,1,0,1,1,0,1
3.865438300650833e-12,3.8654383006508333,0,127,1,1,0,0,1,0,1,0,1,1
3.384096042529701e-12,3.384096042529701,1,128,0,1,1,0,0,1,0,1,0,1
3.0118234299594885e-12,3.0118234299594886,0,131,1,1,1,0,1,1,0,0,1,0
3.885355694997072e-12,3.8853556949970716,1,140,0,0,0,0,0,0,0,0,0,1
2.0440050786894908e-12,2.0440050786894908,0,141,1,0,0,0,0,0,0,0,0,0
4.282932829713935e-12,4.2829328297139355,1,142,0,1,0,0,0,0,0,0,0,0
5.056111904677782e-12,5.056111904677782,0,145,1,1,1,0,1,0,0,0,0,0
3.3577054853211995e-12,3.3577054853211994,1,149,0,0,0,0,1,1,1,0,1,0
2.6937283079958347e-12,2.6937283079958347,0,150,1,0,0,0,0,1,1,1,0,1
2.1747411298042068e-12,2.174741129804207,1,155,0,0,0,0,0,1,0,0,0,0
3.646190843853877e-12,3.646190843853877,0,156,1,0,0,0,0,0,1,0,0,0
4.647734049125473e-12,4.647734049125473,1,157,0,1,0,0,0,0,0,1,0,0
3.6374699884205553e-12,3.6374699884205555,0,158,1,0,1,0,0,0,0,0,1,0
3.8212164592764724e-12,3.8212164592764726,1,159,0,1,0,1,0,0,0,0,0,1
2.7171189166205827e-12,2.7171189166205827,0,160,1,0,1,0,1,0,0,0,0,0
4.34505660517469e-12,4.34505660517469,1,162,0,0,1,0,1,0,1,0,0,0
3.736732033397727e-12,3.7367320333977267,0,165,1,1,1,0,0,1,0,1,0,1
4.223786522060514e-12,4.2237865220605135,1,166,0,1,1,1,0,0,1,0,1,0
2.783829606040813e-12,2.783829606040813,0,167,1,0,1,1,1,0,0,1,0,1
2.71098174613096e-12,2.71098174613096,1,169,0,0,1,0,1,1,1,0,0,1
4.3093883398934426e-12,4.3093883398934425,0,171,1,1,0,0,1,0,1,1,1,0
4.513203330371699e-12,4.513203330371699,1,173,0,0,1,1,0,0,1,0,1,1
2.020753179007047e-12,2.020753179007047,0,176,1,1,1,0,0,1,1,0,0,1
5.182300582699476e-12,5.182300582699476,1,182,0,0,0,0,0,0,1,1,1,0
4.241082616179688e-12,4.241082616179688,0,183,1,0,0,0,0,0,0,1,1,1
4.152036315189376e-12,4.152036315189377,1,186,0,0,0,1,0,0,0,0,0,0
2.615486457618193e-12,2.615486457618193,0,187,1,0,0,0,1,0,0,0,0,0
5.742243844493888e-12,5.742243844493888,1,189,0,0,1,0,0,0,1,0,0,0
3.2261657761278104e-12,3.2261657761278104,0,190,1,0,0,1,0,0,0,1,0,0
2.4575193895645696e-12,2.4575193895645695,1,195,0,0,0,0,0,1,0,0,1,0
3.799708362064593e-12,3.799708362064593,0,198,1,1,1,0,0,0,0,0,1,0
5.069561197017298e-12,5.069561197017298,1,201,0,0,0,1,1,1,0,0,0,0
4.057369457569623e-12,4.057369457569623,0,202,1,0,0,0,1,1,1,0,0,0
4.268599548631852e-12,4.268599548631852,1,204,0,0,1,0,0,0,1,1,1,0
4.0615245244700596e-12,4.06152452447006,0,205,1,0,0,1,0,0,0,1,1,1
5.725535906992355e-12,5.725535906992355,1,206,0,1,0,0,1,0,0,0,1,1
1.9433047707221373e-12,1.9433047707221374,0,209,1,1,1,0,1,0,0,1,0,0
5.751698918741103e-12,5.751698918741103,1,216,0,0,0,0,0,0,0,1,1,1
