注入PJ频率,Frequency_Hz,Repeat,注入PJ(ps),SBL预测PJ(ps),PJ误差(ps),注入RJ(ps),SBL预测RJ(ps),RJ误差(ps),注入DCD(ps),SBL预测DCD(ps),DCD误差(ps)
50kHz,50000.0,0,15.0,15.521484,0.5214844,2.0,1.9961209,0.0038790703,1.0,0.9687789,0.031221092
10kHz,10000.0,4,15.0,15.8203125,0.8203125,2.0,1.9985182,0.0014817715,1.0,0.97796786,0.022032142
10kHz,10000.0,2,15.0,15.875,0.875,2.0,1.9916922,0.008307815,1.0,0.97107154,0.028928459
10kHz,10000.0,1,15.0,15.6875,0.6875,2.0,1.9942746,0.0057253838,1.0,0.9732156,0.02678442
10kHz,10000.0,3,15.0,15.90625,0.90625,2.0,1.9941621,0.0058379173,1.0,0.95986825,0.040131748
10kHz,10000.0,0,15.0,15.84375,0.84375,2.0,1.9961691,0.0038309097,1.0,0.9684201,0.03157991
50kHz,50000.0,3,15.0,15.578857,0.5788574,2.0,1.9941154,0.0058846474,1.0,0.9598913,0.04010868
50kHz,50000.0,4,15.0,15.581543,0.58154297,2.0,1.9983927,0.0016072989,1.0,0.9789913,0.02100867
100kHz,100000.0,0,15.0,15.562149,0.56214905,2.0,1.9962766,0.003723383,1.0,0.9686658,0.03133422
50kHz,50000.0,1,15.0,15.724609,0.7246094,2.0,1.9941071,0.005892873,1.0,0.9730431,0.026956916
50kHz,50000.0,2,15.0,15.669922,0.6699219,2.0,1.991934,0.008066058,1.0,0.97145176,0.02854824
500kHz,500000.0,0,15.0,15.619544,0.619544,2.0,1.9964384,0.003561616,1.0,0.9686607,0.031339288
500kHz,500000.0,1,15.0,15.588823,0.5888233,2.0,1.9943676,0.0056324005,1.0,0.97316927,0.026830733
100kHz,100000.0,3,15.0,15.768019,0.7680187,2.0,1.9941863,0.005813718,1.0,0.9598184,0.040181577
500kHz,500000.0,2,15.0,15.669642,0.66964245,2.0,1.9920787,0.007921338,1.0,0.9714365,0.0285635
500kHz,500000.0,3,15.0,15.639893,0.6398926,2.0,1.9943913,0.005608678,1.0,0.9598179,0.040182114
1.0MHz,1000000.0,0,15.0,15.69146,0.69145966,2.0,1.9963417,0.0036582947,1.0,0.9686662,0.031333804
500kHz,500000.0,4,15.0,15.708239,0.7082386,2.0,1.9983712,0.0016287565,1.0,0.97902584,0.02097416
100kHz,100000.0,1,15.0,15.600027,0.6000271,2.0,1.9942249,0.005775094,1.0,0.9731718,0.02682823
1.0MHz,1000000.0,2,15.0,15.608868,0.60886765,2.0,1.9920391,0.007960916,1.0,0.97144413,0.02855587
1.0MHz,1000000.0,1,15.0,15.455259,0.45525932,2.0,1.9945656,0.005434394,1.0,0.9731667,0.026833296
1.0MHz,1000000.0,3,15.0,15.644705,0.6447048,2.0,1.9944568,0.005543232,1.0,0.95982164,0.04017836
1.0MHz,1000000.0,4,15.0,15.690755,0.6907549,2.0,1.9985702,0.0014297962,1.0,0.97901887,0.020981133
5.0MHz,5000000.0,1,15.0,14.860588,0.13941193,2.0,2.9990819,0.99908185,1.0,0.97326344,0.026736557
5.0MHz,5000000.0,0,15.0,14.892471,0.10752869,2.0,2.9908392,0.99083924,1.0,0.96865165,0.031348348
5.0MHz,5000000.0,2,15.0,14.683849,0.31615067,2.0,2.9924188,0.99241877,1.0,0.9714654,0.028534591
100kHz,100000.0,2,15.0,15.6053295,0.6053295,2.0,1.991872,0.008128047,1.0,0.97144574,0.02855426
5.0MHz,5000000.0,3,15.0,14.676391,0.32360935,2.0,2.9989066,0.9989066,1.0,0.9600175,0.039982498
100kHz,100000.0,4,15.0,15.6336975,0.6336975,2.0,1.9986011,0.001398921,1.0,0.97901434,0.020985663
5.0MHz,5000000.0,4,15.0,14.890726,0.10927391,2.0,2.996452,0.9964521,1.0,0.9790431,0.020956874
10.0MHz,10000000.0,1,15.0,4.698324,10.301676,2.0,5.576723,3.576723,1.0,0.9725054,0.02749461
10.0MHz,10000000.0,0,15.0,4.7820997,10.2179,2.0,5.5887575,3.5887575,1.0,0.9687271,0.03127289
10.0MHz,10000000.0,2,15.0,5.1289444,9.871056,2.0,5.579499,3.5794988,1.0,0.97088754,0.029112458
10.0MHz,10000000.0,4,15.0,4.704118,10.295882,2.0,5.574411,3.574411,1.0,0.9793381,0.02066189
10.0MHz,10000000.0,3,15.0,4.5612164,10.438784,2.0,5.59281,3.5928102,1.0,0.9602929,0.039707124
