TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
2.503957e-12,2.503957e+00,1,2,0,0,0,0,0,0,0,0,0,0
1.403066e-12,1.403066e+00,0,5,1,1,1,0,0,0,0,0,0,0
-3.527252e-12,-3.527252e+00,1,7,0,0,1,1,1,0,0,0,0,0
-1.704582e-12,-1.704582e+00,0,11,1,1,1,1,0,0,1,1,1,0
5.090342e-12,5.090342e+00,1,14,0,0,0,1,1,1,1,0,0,1
-2.943877e-14,-2.943877e-02,0,15,1,0,0,0,1,1,1,1,0,0
-1.499661e-13,-1.499661e-01,1,16,0,1,0,0,0,1,1,1,1,0
-1.984752e-12,-1.984752e+00,0,18,1,1,0,1,0,0,0,1,1,1
-1.663341e-12,-1.663341e+00,1,19,0,1,1,0,1,0,0,0,1,1
3.033101e-12,3.033101e+00,0,24,1,1,1,1,1,0,1,1,0,1
6.743400e-14,6.743400e-02,1,25,0,1,1,1,1,1,0,1,1,0
7.434006e-13,7.434006e-01,0,26,1,0,1,1,1,1,1,0,1,1
1.795889e-13,1.795889e-01,1,27,0,1,0,1,1,1,1,1,0,1
-1.930151e-12,-1.930151e+00,0,29,1,1,0,1,0,1,1,1,1,1
9.855216e-13,9.855216e-01,1,32,0,0,0,1,1,0,1,0,1,1
2.213151e-13,2.213151e-01,0,33,1,0,0,0,1,1,0,1,0,1
2.266917e-12,2.266917e+00,1,36,0,0,0,1,0,0,0,1,1,0
-4.125905e-12,-4.125905e+00,0,37,1,0,0,0,1,0,0,0,1,1
3.258266e-12,3.258266e+00,1,41,0,0,0,0,1,0,0,0,1,0
2.543640e-12,2.543640e+00,0,42,1,0,0,0,0,1,0,0,0,1
2.205211e-12,2.205211e+00,1,48,0,0,0,0,0,0,1,0,0,0
1.526410e-12,1.526410e+00,0,51,1,1,1,0,0,0,0,0,0,1
3.312239e-12,3.312239e+00,1,52,0,1,1,1,0,0,0,0,0,0
2.755813e-12,2.755813e+00,0,53,1,0,1,1,1,0,0,0,0,0
1.245134e-12,1.245134e+00,1,54,0,1,0,1,1,1,0,0,0,0
8.397625e-13,8.397625e-01,0,55,1,0,1,0,1,1,1,0,0,0
9.819506e-13,9.819506e-01,1,56,0,1,0,1,0,1,1,1,0,0
1.185794e-12,1.185794e+00,0,57,1,0,1,0,1,0,1,1,1,0
1.797754e-12,1.797754e+00,1,58,0,1,0,1,0,1,0,1,1,1
9.155120e-13,9.155120e-01,0,62,1,1,1,1,0,1,0,1,0,1
1.957426e-12,1.957426e+00,1,66,0,0,0,0,1,1,1,1,0,1
1.874329e-12,1.874329e+00,0,69,1,1,1,0,0,0,0,1,1,1
4.328255e-12,4.328255e+00,1,71,0,0,1,1,1,0,0,0,0,1
-7.141498e-13,-7.141498e-01,0,72,1,0,0,1,1,1,0,0,0,0
1.243460e-12,1.243460e+00,1,73,0,1,0,0,1,1,1,0,0,0
-6.940298e-13,-6.940298e-01,0,77,1,1,1,1,0,1,0,0,1,1
5.785259e-12,5.785259e+00,1,78,0,1,1,1,1,0,1,0,0,1
1.424567e-12,1.424567e+00,0,79,1,0,1,1,1,1,0,1,0,0
2.927486e-12,2.927486e+00,1,84,0,0,0,0,0,1,0,1,1,1
-9.918474e-13,-9.918474e-01,0,87,1,1,1,0,0,0,0,0,1,0
2.125159e-12,2.125159e+00,1,89,0,0,1,1,1,0,0,0,0,0
-6.196599e-13,-6.196599e-01,0,90,1,0,0,1,1,1,0,0,0,0
2.527142e-12,2.527142e+00,1,91,0,1,0,0,1,1,1,0,0,0
7.196265e-13,7.196265e-01,0,92,1,0,1,0,0,1,1,1,0,0
2.305865e-13,2.305865e-01,1,93,0,1,0,1,0,0,1,1,1,0
2.847757e-12,2.847757e+00,0,94,1,0,1,0,1,0,0,1,1,1
4.186597e-12,4.186597e+00,1,95,0,1,0,1,0,1,0,0,1,1
2.329042e-12,2.329042e+00,0,96,1,0,1,0,1,0,1,0,0,1
1.610246e-12,1.610246e+00,1,97,0,1,0,1,0,1,0,1,0,0
4.401446e-12,4.401446e+00,0,100,1,1,1,0,1,0,1,0,1,0
1.715431e-12,1.715431e+00,1,101,0,1,1,1,0,1,0,1,0,1
1.439018e-12,1.439018e+00,0,102,1,0,1,1,1,0,1,0,1,0
2.903232e-12,2.903232e+00,1,103,0,1,0,1,1,1,0,1,0,1
-2.444531e-13,-2.444531e-01,0,105,1,1,0,1,0,1,1,1,0,1
5.733918e-13,5.733918e-01,1,106,0,1,1,0,1,0,1,1,1,0
1.784056e-12,1.784056e+00,0,107,1,0,1,1,0,1,0,1,1,1
8.096713e-13,8.096713e-01,1,112,0,0,0,0,0,1,0,1,1,0
7.480294e-12,7.480294e+00,0,115,1,1,1,0,0,0,0,0,1,0
2.745229e-12,2.745229e+00,1,116,0,1,1,1,0,0,0,0,0,1
-9.114816e-13,-9.114816e-01,0,123,1,1,1,1,1,1,1,0,1,1
8.990804e-13,8.990804e-01,1,125,0,0,1,1,1,1,1,1,1,0
1.928629e-12,1.928629e+00,0,126,1,0,0,1,1,1,1,1,1,1
3.055196e-12,3.055196e+00,1,127,0,1,0,0,1,1,1,1,1,1
-1.254630e-12,-1.254630e+00,0,128,1,0,1,0,0,1,1,1,1,1
4.229963e-12,4.229963e+00,1,132,0,0,0,0,1,0,1,0,0,1
3.862266e-12,3.862266e+00,0,136,1,1,1,1,0,0,0,0,1,0
6.353148e-12,6.353148e+00,1,137,0,1,1,1,1,0,0,0,0,1
9.302016e-13,9.302016e-01,0,138,1,0,1,1,1,1,0,0,0,0
3.419909e-12,3.419909e+00,1,141,0,0,0,1,0,1,1,1,1,0
1.581327e-12,1.581327e+00,0,142,1,0,0,0,1,0,1,1,1,1
1.541756e-12,1.541756e+00,1,143,0,1,0,0,0,1,0,1,1,1
5.381971e-12,5.381971e+00,0,144,1,0,1,0,0,0,1,0,1,1
8.473169e-14,8.473169e-02,1,145,0,1,0,1,0,0,0,1,0,1
3.928874e-12,3.928874e+00,0,146,1,0,1,0,1,0,0,0,1,0
5.554664e-12,5.554664e+00,1,147,0,1,0,1,0,1,0,0,0,1
4.058217e-12,4.058217e+00,0,148,1,0,1,0,1,0,1,0,0,0
4.809773e-12,4.809773e+00,1,149,0,1,0,1,0,1,0,1,0,0
1.657550e-12,1.657550e+00,0,150,1,0,1,0,1,0,1,0,1,0
4.499173e-12,4.499173e+00,1,151,0,1,0,1,0,1,0,1,0,1
1.807296e-13,1.807296e-01,0,152,1,0,1,0,1,0,1,0,1,0
3.719537e-12,3.719537e+00,1,153,0,1,0,1,0,1,0,1,0,1
5.548500e-12,5.548500e+00,0,155,1,1,0,1,0,1,0,1,0,1
5.526648e-12,5.526648e+00,1,156,0,1,1,0,1,0,1,0,1,0
3.193407e-12,3.193407e+00,0,158,1,1,0,1,1,0,1,0,1,0
2.722426e-12,2.722426e+00,1,159,0,1,1,0,1,1,0,1,0,1
4.869714e-12,4.869714e+00,0,160,1,0,1,1,0,1,1,0,1,0
3.241802e-12,3.241802e+00,1,164,0,0,0,0,1,0,1,1,0,1
6.180761e-12,6.180761e+00,0,165,1,0,0,0,0,1,0,1,1,0
2.323694e-12,2.323694e+00,1,170,0,0,0,0,0,1,0,0,0,0
3.940577e-12,3.940577e+00,0,172,1,1,0,0,0,0,0,1,0,0
2.347641e-12,2.347641e+00,1,176,0,0,0,0,1,1,0,0,0,0
5.561563e-12,5.561563e+00,0,177,1,0,0,0,0,1,1,0,0,0
5.543596e-12,5.543596e+00,1,178,0,1,0,0,0,0,1,1,0,0
1.249763e-13,1.249763e-01,0,180,1,1,0,1,0,0,0,0,1,1
1.691206e-12,1.691206e+00,1,182,0,0,1,1,0,1,0,0,0,0
6.766718e-12,6.766718e+00,0,184,1,1,0,0,1,1,0,1,0,0
3.835335e-12,3.835335e+00,1,185,0,1,1,0,0,1,1,0,1,0
3.185012e-12,3.185012e+00,0,186,1,0,1,1,0,0,1,1,0,1
5.977794e-12,5.977794e+00,1,189,0,0,0,1,0,1,1,0,0,1
4.230935e-13,4.230935e-01,0,193,1,1,1,1,0,0,0,1,0,1
3.941413e-12,3.941413e+00,1,194,0,1,1,1,1,0,0,0,1,0
2.201827e-12,2.201827e+00,0,199,1,1,1,1,1,0,1,1,1,1
4.730919e-12,4.730919e+00,1,201,0,0,1,1,1,1,1,0,1,1
2.998868e-12,2.998868e+00,0,203,1,1,0,0,1,1,1,1,1,0
3.095705e-12,3.095705e+00,1,204,0,1,1,0,0,1,1,1,1,1
3.915418e-12,3.915418e+00,0,205,1,0,1,1,0,0,1,1,1,1
4.195992e-12,4.195992e+00,1,206,0,1,0,1,1,0,0,1,1,1
3.377071e-12,3.377071e+00,0,207,1,0,1,0,1,1,0,0,1,1
7.046728e-12,7.046728e+00,1,208,0,1,0,1,0,1,1,0,0,1
1.438440e-12,1.438440e+00,0,209,1,0,1,0,1,0,1,1,0,0
4.050475e-12,4.050475e+00,1,212,0,0,0,1,0,1,0,1,0,1
1.083635e-12,1.083635e+00,0,213,1,0,0,0,1,0,1,0,1,0
6.012518e-12,6.012518e+00,1,216,0,0,0,1,0,0,0,1,0,1
6.181209e-14,6.181209e-02,0,218,1,1,0,0,0,1,0,0,0,1
4.561745e-12,4.561745e+00,1,222,0,0,0,0,1,1,0,0,0,1
2.025987e-12,2.025987e+00,0,223,1,0,0,0,0,1,1,0,0,0
7.867235e-12,7.867235e+00,1,224,0,1,0,0,0,0,1,1,0,0
2.335514e-12,2.335514e+00,0,225,1,0,1,0,0,0,0,1,1,0
4.863521e-12,4.863521e+00,1,226,0,1,0,1,0,0,0,0,1,1
6.916948e-12,6.916948e+00,0,227,1,0,1,0,1,0,0,0,0,1
4.337312e-12,4.337312e+00,1,229,0,0,1,0,1,0,1,0,0,0
9.349429e-13,9.349429e-01,0,234,1,1,1,1,1,0,0,1,0,1
4.323011e-12,4.323011e+00,1,235,0,1,1,1,1,1,0,0,1,0
2.664654e-12,2.664654e+00,0,237,1,1,0,1,1,1,1,1,0,0
4.651843e-12,4.651843e+00,1,238,0,1,1,0,1,1,1,1,1,0
1.198983e-12,1.198983e+00,0,241,1,1,1,0,1,1,0,1,1,1
5.633846e-12,5.633846e+00,1,242,0,1,1,1,0,1,1,0,1,1
7.017559e-12,7.017559e+00,0,246,1,1,1,1,0,1,1,1,0,1
6.274224e-12,6.274224e+00,1,248,0,0,1,1,1,1,0,1,1,1
6.873249e-12,6.873249e+00,0,249,1,0,0,1,1,1,1,0,1,1
5.909930e-12,5.909930e+00,1,250,0,1,0,0,1,1,1,1,0,1
3.640046e-12,3.640046e+00,0,252,1,1,0,1,0,0,1,1,1,1
