TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
2.457305e-12,2.457305e+00,1,2,0,0,0,0,0,0,0,0,0,0
1.286439e-12,1.286439e+00,0,5,1,1,1,0,0,0,0,0,0,0
-3.690523e-12,-3.690523e+00,1,7,0,0,1,1,1,0,0,0,0,0
-1.961120e-12,-1.961120e+00,0,11,1,1,1,1,0,0,1,1,1,0
4.763880e-12,4.763880e+00,1,14,0,0,0,1,1,1,1,0,0,1
-3.792029e-13,-3.792029e-01,0,15,1,0,0,0,1,1,1,1,0,0
-5.230286e-13,-5.230286e-01,1,16,0,1,0,0,0,1,1,1,1,0
-2.404400e-12,-2.404400e+00,0,18,1,1,0,1,0,0,0,1,1,1
-2.106275e-12,-2.106275e+00,1,19,0,1,1,0,1,0,0,0,1,1
2.473804e-12,2.473804e+00,0,24,1,1,1,1,1,0,1,1,0,1
-5.151187e-13,-5.151187e-01,1,25,0,1,1,1,1,1,0,1,1,0
1.375972e-13,1.375972e-01,0,26,1,0,1,1,1,1,1,0,1,1
-4.494593e-13,-4.494593e-01,1,27,0,1,0,1,1,1,1,1,0,1
-2.605669e-12,-2.605669e+00,0,29,1,1,0,1,0,1,1,1,1,1
2.403485e-13,2.403485e-01,1,32,0,0,0,1,1,0,1,0,1,1
-5.470615e-13,-5.470615e-01,0,33,1,0,0,0,1,1,0,1,0,1
1.428977e-12,1.428977e+00,1,36,0,0,0,1,0,0,0,1,1,0
-4.987017e-12,-4.987017e+00,0,37,1,0,0,0,1,0,0,0,1,1
2.304555e-12,2.304555e+00,1,41,0,0,0,0,1,0,0,0,1,0
1.566803e-12,1.566803e+00,0,42,1,0,0,0,0,1,0,0,0,1
1.089829e-12,1.089829e+00,1,48,0,0,0,0,0,0,1,0,0,0
3.419020e-13,3.419020e-01,0,51,1,1,1,0,0,0,0,0,0,1
2.104712e-12,2.104712e+00,1,52,0,1,1,1,0,0,0,0,0,0
1.525279e-12,1.525279e+00,0,53,1,0,1,1,1,0,0,0,0,0
-8.393223e-15,-8.393223e-03,1,54,0,1,0,1,1,1,0,0,0,0
-4.367467e-13,-4.367467e-01,0,55,1,0,1,0,1,1,1,0,0,0
-3.175277e-13,-3.175277e-01,1,56,0,1,0,1,0,1,1,1,0,0
-1.366408e-13,-1.366408e-01,0,57,1,0,1,0,1,0,1,1,1,0
4.523771e-13,4.523771e-01,1,58,0,1,0,1,0,1,0,1,1,1
-5.215006e-13,-5.215006e-01,0,62,1,1,1,1,0,1,0,1,0,1
4.290072e-13,4.290072e-01,1,66,0,0,0,0,1,1,1,1,0,1
2.775150e-13,2.775150e-01,0,69,1,1,1,0,0,0,0,1,1,1
2.685923e-12,2.685923e+00,1,71,0,0,1,1,1,0,0,0,0,1
